other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.01,0.0,,,1.978,0.0,,0.144,0.0,
,0.01,0.0,,,1.937,0.0,,0.141,0.0,
,0.01,0.0,,,1.896,0.0,,0.131,0.0,
,0.01,0.0,,,1.853,0.0,,0.133,0.0,
,0.01,0.0,,,1.808,0.0,,0.119,0.0,
,0.01,0.0,,,1.761,0.0,,0.11,0.0,
,0.02,0.0,,,3.292,0.0,,0.191,0.0,
,0.03,0.0,,,4.634,0.0,,0.245,0.0,
,0.03,0.0,,,4.523,0.0,,0.231,0.0,
,0.02,0.0,,,2.95,0.0,,0.149,0.0,
,0.02,0.0,,,2.885,0.0,,0.144,0.0,
,0.02,0.0,,,2.813,0.0,,0.145,0.0,
,0.02,0.0,,,2.773,0.0,,0.128,0.0,
,0.02,0.0,,,2.599,0.0,,0.123,0.0,
,0.02,0.0,,,2.31,0.0,,0.116,0.0,
,0.07,0.0,,,7.373,0.0,,0.391,0.0,
,0.07,0.0,,,7.025,0.0,,0.378,0.0,
,0.08,0.0,,,7.831,0.0,,0.409,0.0,
,0.06,0.0,,,5.736,0.0,,0.312,0.0,
,0.06,0.0,,,5.608,0.0,,0.309,0.0,
,0.05,0.0,,,4.575,0.0,,0.25,0.0,
,0.06,0.0,,,5.382,0.0,,0.274,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.0,0.0,,,,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.002,0.0,,,0.002,0.027,,0.085,0.001,,0.0
0.006,0.002,,290.756,0.004,0.103,,0.328,0.002,,0.001
0.007,0.002,,15.28,0.001,0.117,,0.374,0.002,,0.001
0.008,0.002,,13.254,0.001,0.131,,0.418,0.002,,0.001
0.016,0.005,,104.542,0.008,0.265,,0.845,0.005,,0.002
0.021,0.007,,31.401,0.005,0.344,,1.098,0.006,,0.003
0.008,0.003,,-60.711,-0.013,0.134,,0.426,0.002,,0.001
0.007,0.002,,-19.573,-0.002,0.106,,0.339,0.002,,0.001
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.72,0.43,,,23.338,13.938,,17.778,10.617,
,0.7,0.48,,,22.012,15.094,,15.217,10.435,
,0.56,0.39,,,17.084,11.898,,11.789,8.211,
,0.88,0.79,,,26.061,23.396,,17.255,15.49,
,1.16,1.03,,,33.341,29.605,,21.284,18.899,
,1.18,1.0,,,32.921,27.899,,20.102,17.036,
,1.24,1.01,,,33.581,27.353,,19.62,15.981,
,1.2,1.02,,,31.548,26.816,,18.405,15.644,
,1.36,1.18,,,34.705,30.112,,21.25,18.437,
,1.68,1.34,,,41.621,33.198,,25.571,20.396,
,1.69,1.45,,,40.705,34.925,,23.407,20.083,
,1.73,1.5,,,40.577,35.182,,22.823,19.789,
,1.78,1.58,,,40.708,36.134,,22.002,19.53,
,2.16,1.91,,,48.222,42.641,,24.856,21.979,
,3.35,3.21,,,73.093,70.039,,40.024,38.351,
,4.58,4.48,,,97.756,95.621,,46.403,45.39,
,4.83,4.69,,,100.846,97.923,,49.845,48.4,
,5.11,4.87,,,104.396,99.493,,47.757,45.514,
,5.33,5.17,,,106.7,103.497,,47.378,45.956,
,5.38,5.24,,,105.591,102.843,,46.823,45.605,
,5.18,5.06,,,99.643,97.334,,44.085,43.064,
,5.25,5.12,,,99.046,96.594,,44.379,43.28,
,5.75,5.59,,,106.427,103.466,,46.634,45.337,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.0,0.0,,,,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.01,0.0,,,1.515,0.0,,0.065,0.0,
,0.01,0.0,,,1.494,0.0,,0.066,0.0,
,0.07,0.0,,,10.313,0.0,,0.437,0.0,
,0.16,0.0,,,23.217,0.0,,0.639,0.0,
,0.21,0.0,,,30.009,0.0,,0.691,0.0,
,0.6,0.0,,,84.447,0.0,,1.781,0.0,
,0.57,0.0,,,79.034,0.0,,1.866,0.0,
,0.57,0.0,,,77.875,0.0,,1.451,0.0,
,0.61,0.0,,,82.154,0.0,,1.526,0.0,
,23.51,8.03,,,,,,2.414,0.824,
,24.64,7.97,,,,,,2.546,0.823,
,26.04,7.95,,,,,,2.613,0.798,
,29.67,8.8,,,,,,2.866,0.85,
,31.91,9.35,,,,,,2.909,0.852,
,37.8,10.03,,,,,,3.308,0.878,
,37.34,9.61,,,,,,3.125,0.804,
,43.08,10.62,,,,,,3.458,0.852,
,45.06,10.42,,,,,,3.527,0.816,
,47.84,10.13,,,,,,3.728,0.789,
,56.23,9.65,,,,,,4.126,0.708,
,57.49,9.62,,,,,,4.051,0.678,
,59.85,9.22,,,,,,4.08,0.629,
,66.38,9.74,,,,,,4.388,0.644,
,72.76,9.72,,,,,,4.809,0.642,
,77.19,9.86,,,,,,4.963,0.634,
,79.32,9.81,,,,,,5.066,0.627,
,80.2,9.54,,,,,,5.082,0.605,
,82.47,9.21,,,,,,5.083,0.568,
,83.16,9.63,,,,,,5.163,0.598,
,87.1,9.48,,,,,,5.39,0.587,
,88.57,9.19,,,,,,5.202,0.54,
,88.21,9.6,,,,,,4.978,0.542,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,,0.01,0.0,0.0,4.059,0.0,0.0,0.024
0.032,0.01,0.0,233.333,0.022,4.299,0.0,13.723,0.252,0.0,0.078
0.077,0.02,0.0,140.0,0.045,8.717,0.0,33.392,0.504,0.0,0.189
0.121,0.04,0.0,58.333,0.045,17.672,0.0,53.592,0.853,0.0,0.266
0.134,0.04,0.0,10.526,0.013,17.912,0.0,60.037,0.813,0.0,0.286
0.137,0.04,0.0,2.381,0.003,18.15,0.0,62.282,0.818,0.0,0.308
0.134,0.04,0.0,-2.326,-0.003,18.382,0.0,61.613,0.84,0.0,0.292
0.144,0.04,0.0,7.143,0.01,18.601,0.0,66.801,0.759,0.0,0.311
0.153,0.05,0.0,6.667,0.01,23.515,0.0,72.063,0.898,0.0,0.35
0.211,0.07,0.0,37.5,0.057,33.309,0.0,100.253,1.056,0.0,0.424
0.383,0.12,0.0,81.818,0.172,57.776,0.0,184.434,1.97,0.0,0.864
0.919,0.29,0.0,140.0,0.536,141.213,0.0,447.672,4.7,0.0,2.0
1.602,0.5,0.0,74.306,0.683,246.125,0.0,788.823,8.065,0.0,3.623
2.136,0.67,0.0,33.267,0.533,333.161,0.0,1061.93,13.035,0.0,5.241
2.455,0.77,0.0,14.948,0.319,386.556,0.0,1232.362,13.899,0.0,5.88
2.627,0.82,0.0,7.022,0.172,415.51,0.0,1331.246,12.773,0.0,5.904
2.971,0.93,0.0,13.079,0.344,475.737,0.0,1519.695,12.351,0.0,6.066
3.013,0.94,0.0,1.405,0.042,485.629,0.0,1556.355,13.988,0.0,6.915
2.961,0.93,0.0,-1.727,-0.052,485.246,0.0,1544.708,14.441,0.0,6.603
2.761,0.86,0.0,-6.752,-0.2,453.334,0.0,1455.208,15.035,0.0,6.757
2.751,0.86,0.0,-0.347,-0.01,458.93,0.0,1468.053,14.701,0.0,6.488
2.557,0.68,0.0,-7.067,-0.194,367.438,0.0,1381.468,13.439,0.0,6.445
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.01,0.0,,,1.931,0.0,,0.064,0.0,
,0.01,0.0,,,1.761,0.0,,0.056,0.0,
,0.01,0.0,,,1.594,0.0,,0.059,0.0,
,0.01,0.0,,,1.563,0.0,,0.057,0.0,
,0.03,0.0,,,4.793,0.0,,0.164,0.0,
,0.04,0.0,,,6.547,0.0,,0.2,0.0,
,0.03,0.0,,,5.041,0.0,,0.15,0.0,
,0.03,0.0,,,5.189,0.0,,0.147,0.0,
,0.03,0.0,,,5.298,0.0,,0.154,0.0,
,0.03,0.0,,,5.364,0.0,,0.146,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
